Item Title,Item Price,Item ID,Number Sold,Brand,Manufacturer Part Number,Reference OE/OEM Number,MPN,Reference
CITROEN C2 1.4 1.6 2003-2010 THERMOSTAT HOUSING & SENSOR 1336.Z0,13.99,143881333281,N/A,BaHuHa,BE21-2004,"1336.Z0, 1336Z0, 96472659, 9647265980",N/A,https://www.ebay.co.uk/sch/bahuha/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=14.050000000000065&_udhi=14.100000000000065&_sop=2&_ipg=200
CITROEN C4 1.4 1.6 16V 2004-2011 THERMOSTAT HOUSING & SENSOR 1336.Z0,13.99,143881329568,N/A,BaHuHa,BE21-2002,"1336.Z0, 1336Z0, 96472659, 9647265980",N/A,https://www.ebay.co.uk/sch/bahuha/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=14.050000000000065&_udhi=14.100000000000065&_sop=2&_ipg=200
MERCEDES E CLASS W210 S210 1995>2003 REAR LEFT SIDE ELECTRIC WINDOW REGULATOR,13.99,141898786634,144 sold,BaHuHa,BE1-143,2107301546,N/A,https://www.ebay.co.uk/sch/bahuha/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=14.050000000000065&_udhi=14.100000000000065&_sop=2&_ipg=200
Renault Clio 2005-2016 Front Anti Roll Bar Drop Links Pair,13.99,143118707532,35 sold,BaHaHa,BE1-3369,"8200127308, 82 01 079 463, 82 00 605 381, 55 11 079 16R",N/A,https://www.ebay.co.uk/sch/bahuha/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=14.050000000000065&_udhi=14.100000000000065&_sop=2&_ipg=200
PEUGEOT 206 1.4 1.6 16V 2000-ONWARDS THERMOSTAT HOUSING & SENSOR 1336.Z0,13.99,132241511497,59 sold,BaHuHa,BE1-1180,"1336.Z0, 1336Z0, 96472659, 9647265980",N/A,https://www.ebay.co.uk/sch/bahuha/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=14.050000000000065&_udhi=14.100000000000065&_sop=2&_ipg=200
CITROEN C3 1.4 1.6 2002-2010 THERMOSTAT HOUSING & SENSOR 1336.Z0,13.99,133602600073,N/A,BaHuHa,BE21-2003,"1336.Z0, 1336Z0, 96472659, 9647265980",N/A,https://www.ebay.co.uk/sch/bahuha/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=14.050000000000065&_udhi=14.100000000000065&_sop=2&_ipg=200
For Kia Carens Mk3 2006-Onwards Blower Motor Fan Heater Resistor,32.50,143575472360,N/A,BaHuHa,BE21-595,"97179-1F200, 97179-1F210, 971791F210, 971791F200",N/A,https://www.ebay.co.uk/sch/bahuha/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=32.65000000000028&_udhi=32.70000000000028&_sop=2&_ipg=200
Volvo V60 Mk1 / V70 Mk3 2007>Onwards Engine Oil Sump Pan *Brand New*,33.40,133573255568,N/A,BaHuHa,BE21-1744,"1 459 169, 1459169, 4 596 946, 4596946, 5G13-7H395-AA, 5G137H395AA, 6G9N7H395AA",N/A,https://www.ebay.co.uk/sch/bahuha/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=33.55000000000023&_udhi=33.60000000000023&_sop=2&_ipg=200
Volvo S80 Mk2 2006>Onwards Engine Oil Sump Pan Brand New,33.40,143835626811,N/A,BaHuHa,BE21-1742,"1 459 169, 1459169, 4 596 946, 4596946, 5G13-7H395-AA, 5G137H395AA, 6G9N7H395AA",N/A,https://www.ebay.co.uk/sch/bahuha/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=33.55000000000023&_udhi=33.60000000000023&_sop=2&_ipg=200
Volvo XC60 SUV / XC70 Mk2 2007>Onwards Engine Oil Sump Pan *Brand New*,33.40,133573258741,N/A,BaHuHa,BE21-1743,"1 459 169, 1459169, 4 596 946, 4596946, 5G13-7H395-AA, 5G137H395AA, 6G9N7H395AA",N/A,https://www.ebay.co.uk/sch/bahuha/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=33.55000000000023&_udhi=33.60000000000023&_sop=2&_ipg=200
"SEAT CORDOBA MK2,IBIZA MK4 16V 2002-2009 OIL SUMP PAN BRAND NEW",31.89,133010554445,N/A,BaHuHa,BE1-3663,"032 103 603 AB, 032103603AB, 32 103 603 AB, 32103603AB",N/A,https://www.ebay.co.uk/sch/bahuha/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=32.00000000000032&_udhi=32.05000000000032&_sop=2&_ipg=200
CITROEN XSARA PICASSO N68 1999-ON FRONT RIGHT SIDE ELECTRIC WINDOW REGULATOR,32.50,132545662493,117 sold,BaHuHa,BE1-2019,N/A,N/A,https://www.ebay.co.uk/sch/bahuha/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=32.65000000000028&_udhi=32.70000000000028&_sop=2&_ipg=200
WINDSCREEN WASHER PUMP FOR NISSAN MICRA MK4 2010>ON 28920EB300,37.50,133539541779,N/A,BaHaHa,BE21-1378,"28920-EB300, 28920EB300",N/A,https://www.ebay.co.uk/sch/bahuha/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=37.65&_udhi=37.699999999999996&_sop=2&_ipg=200
Smart ForFour 2004-2006 Rear Axle Wheel Hub Bearing,32.50,132950525661,34 sold,BaHuHa,BE1-3491,"454 350 01 35, 4543500135",N/A,https://www.ebay.co.uk/sch/bahuha/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=32.65000000000028&_udhi=32.70000000000028&_sop=2&_ipg=200
