Item Title,Item Price,Item ID,Number Sold,Brand,Manufacturer Part Number,Reference OE/OEM Number,MPN,Reference
Turbo Intake Hose for VW Golf IV Seat Leon (1M1) Audi A3 Skoda Octavia 1.9 TDI,5.05,174138110622,1 sold,OE Quality,1J0145838AF,"1J0 145 838 AF, 1J0145838AF, 1J0 145 838 S, VW BORA  1998 – 2005, AUDI A3   2000 – 2003, VW GOLF IV 1997 – 2004",N/A,https://www.ebay.co.uk/sch/allparts-buddy/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=5.049999999999999&_udhi=5.099999999999999&_sop=2&_ipg=200
Front LEFT + Right Seat Tilt Handle For Ford Fiesta MK6 02-08 1417521 + 1417520,5.22,183718779404,98 sold,OE QUALITY,1417521,"1417521, 1417520",N/A,https://www.ebay.co.uk/sch/allparts-buddy/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=5.199999999999998&_udhi=5.249999999999998&_sop=2&_ipg=200
Turbo Intake Hose for VW Golf IV Seat Leon (1M1) Audi A3 Skoda Octavia 1.9 TDI,5.05,174138110622,1 sold,OE Quality,1J0145838AF,"1J0 145 838 AF, 1J0145838AF, 1J0 145 838 S, VW BORA  1998 – 2005, AUDI A3   2000 – 2003, VW GOLF IV 1997 – 2004",N/A,https://www.ebay.co.uk/sch/allparts-buddy/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=4.999999999999999&_udhi=5.049999999999999&_sop=2&_ipg=200
Air Panel Flange Punch Tools Pneumatic Auto Body Sheet Metal 5mm Hole Puncher,32.40,174520984190,1 sold,OE Quality,"HM49002, ahP4919691, AT0828, FR5350, 31951481","HM49002, ahP4919691, AT0828, FR5350, 31951481, 32502945, 10008747, 100180, 3255, 256, JD002, EUJJQDDKJ",N/A,https://www.ebay.co.uk/sch/allparts-buddy/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=32.35000000000031&_udhi=32.400000000000304&_sop=2&_ipg=200
Thermostat &Housing &Sensor Kit Fits Vauxhall Zafira B Vectra C Opel 1.6 1.8,22.50,183708059027,24 sold,OE Quality,71770832,"55353311, 71770832, 71744389, 55564890, 55577284, 6338 044, 1338 256, EBY-100460",N/A,https://www.ebay.co.uk/sch/allparts-buddy/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=22.45000000000019&_udhi=22.500000000000192&_sop=2&_ipg=200
New Stalk Switch Indicator Wiper Column FOR MERCEDES A Class W168 1685450110,22.50,173815689640,38 sold,OE Quality,"1685450110,168 545 01 10","1685450110,168 545 01 10",N/A,https://www.ebay.co.uk/sch/allparts-buddy/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=22.45000000000019&_udhi=22.500000000000192&_sop=2&_ipg=200
64118375792 Heater Control Valve for BMW E36 318i 323is 325i 328i M3- 92-10 NEW,33.82,174207925945,11 sold,OE Quality,64118375792,"64118391419, 64 11 8 391 419, 64118375792, 64 11 8 375 792, 64111387319, 64 11 1 387 319, 1147412053, 653 06012 001",N/A,https://www.ebay.co.uk/sch/allparts-buddy/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=33.800000000000225&_udhi=33.85000000000022&_sop=2&_ipg=200
LAND ROVER FREELANDER TD4 NEW REMOTE FUEL PUMP & FILTER - WFX000181 & WJN000080,32.40,174611710951,N/A,OE QUALITY,"LR023043,WJN000080,WFX000181","LR020625, LR023043, LR022382, WJN000080, WFX000180, WFX000181, WFX500210, WQB10048L, WQB100480, WQB100482",N/A,https://www.ebay.co.uk/sch/allparts-buddy/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=32.35000000000031&_udhi=32.400000000000304&_sop=2&_ipg=200
Brake Vacuum Pump For Audi A4 8K 8E B7 B8 A6 C6 A8 4E 3.2 FSI 05-11 06E145100E,34.65,174059019938,1 sold,OE QUALITY,"06E 145 100 T,06E 145 100 E","06E 145 100 T,06E 145 100 E",N/A,https://www.ebay.co.uk/sch/allparts-buddy/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=34.650000000000176&_udhi=34.70000000000017&_sop=2&_ipg=200
"Timing Chain Kit VW SKODA AUDI SEAT 1,2 TSI TFSI CBZA CBZB 03F198158E 03F198229B",34.67,174225473576,13 sold,OE QUALITY,03F109469E,"03F109469E, 03F109509F, 03F109158G, 03F109158J, 03F109571F, 03F105209G, 03F109507F",N/A,https://www.ebay.co.uk/sch/allparts-buddy/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=34.650000000000176&_udhi=34.70000000000017&_sop=2&_ipg=200
Rear Right Brake Caliper with Bracket for Nissan Qashqai Dualis TIIDA CUBE JUKE,33.36,174368451006,6 sold,N/A,N/A,N/A,N/A,https://www.ebay.co.uk/sch/allparts-buddy/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=34.75000000000017&_udhi=34.80000000000017&_sop=2&_ipg=200
