Item Title,Item Price,Item ID,Number Sold,Brand,Manufacturer Part Number,Reference OE/OEM Number,MPN,Reference
Wall Protector Door Handle Stop Rubber Bumper Door Guard Door Stopper,1.69,363230377108,53 sold,Robust,N/A,N/A,Decoranddecor,https://www.ebay.co.uk/sch/robustparts/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=1.6400000000000001&_udhi=1.6900000000000002&_sop=2&_ipg=200
POLISHED NICKEL BLACK ROSE CHROME BOW HANDLE KITCHEN CABINET DOOR DRAWER CURVED,2.33 to 2.99,363228992631,418 sold,Robust,N/A,N/A,N/A,https://www.ebay.co.uk/sch/robustparts/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=2.3899999999999992&_udhi=2.439999999999999&_sop=2&_ipg=200
FORD FIESTA MK5 FUSION WINDSCREEN WASHER BOTTLE CAP 2S6117632AD,2.45,363264173516,86 sold,Robust Car Parts,2S6117632AD,"2S6117632AD, 5S6117632AB, 2S61-17632-AB, 1362696, 5S61-17632-AB, 1142518, 2S61-17632-AC, 2S6117632AC, 1140369, 2S6117632AB, 1488251, 2S61-17632-AD",N/A,https://www.ebay.co.uk/sch/robustparts/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=2.439999999999999&_udhi=2.489999999999999&_sop=2&_ipg=200
10x 10mm PUSH FIT HONDA BUMPER GRILLE & ENGINE UNDER TRAY TRIM PANEL CLIPS,2.45,363049434669,26 sold,Robust Car Parts,"91503-S7A-003 , 91503S7A003","91503-S7A-003, 91503S7A003",N/A,https://www.ebay.co.uk/sch/robustparts/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=2.439999999999999&_udhi=2.489999999999999&_sop=2&_ipg=200
VAUXHALL/OPEL ASTRA G ZAFIRA H - 2 BUTTON REMOTE KEY FOB CASE SHELL + GASKET,2.49,363036611433,30 sold,Robust Car Parts,Repair Fob + Gasket,N/A,N/A,https://www.ebay.co.uk/sch/robustparts/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=2.439999999999999&_udhi=2.489999999999999&_sop=2&_ipg=200
WINDSCREEN WASHER BOTTLE CAP FOR FORD FIESTA (2001-2008) FORD FUSION (2001-2012),2.45,363321401129,15 sold,Robust Car Parts,2S6117632AD,"2S6117632AD, 5S6117632AB, 2S61-17632-AB, 1362696, 5S61-17632-AB, 1142518, 2S61-17632-AC, 2S6117632AC, 1140369, 2S6117632AB, 1488251, 2S61-17632-AD",N/A,https://www.ebay.co.uk/sch/robustparts/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=2.439999999999999&_udhi=2.489999999999999&_sop=2&_ipg=200
VINTAGE RETRO ANTIQUE STYLE CABINET CUPBOARD DRAWER CONNECTION HANDLES,2.02 to 2.49,363230556522,229 sold,Robust,N/A,N/A,N/A,https://www.ebay.co.uk/sch/robustparts/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=2.489999999999999&_udhi=2.5399999999999987&_sop=2&_ipg=200
10x VW T4 T5 TRANSPORTER MULTIVAN INTERIOR DOOR CARD MOULDING SCREW CLIPS,2.45,363073061972,27 sold,Robust Car Parts,701867299U71,701867299U71,N/A,https://www.ebay.co.uk/sch/robustparts/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=2.439999999999999&_udhi=2.489999999999999&_sop=2&_ipg=200
10x RENAULT WHEEL ARCH LINING SPLASH GUARD TRIM SPRUCE CLIPS CLIO SCENIC MEGANE,2.49,363049507716,320 sold,Robust Car Parts,"7703077435 , 77 03 077 435","7703077435, 77 03 077 435",N/A,https://www.ebay.co.uk/sch/robustparts/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=2.489999999999999&_udhi=2.5399999999999987&_sop=2&_ipg=200
2 PCS VOLKSWAGEN T4 WIND RAIN SUN SMOKE GUARD DEFLECTORS FRONT MK4 (1995-2003),22.99,363156157200,55 sold,Robust Car Parts,Wind Rain Sun,"Smoke Deflectors, Rain Deflectors, Window Shield, Wind Deflectors, Sun Visor, Volkswagen T4, Volkswagen T4 MK4",N/A,https://www.ebay.co.uk/sch/robustparts/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=22.94000000000019&_udhi=22.99000000000019&_sop=2&_ipg=200
2X FORD TRANSIT MK6 MK7 L SHAPE WIND RAIN SUN SMOKED GUARD DEFLECTORS 2000-2013,22.89,363127299217,449 sold,Robust Car Parts,FRONT WIND RAIN SMOKE DEFLECTORS L SHAPE,"WIND RAIN SMOKE DEFLECTORS L SHAPE, LEFT, FRONT, RIGHT, L Shape",N/A,https://www.ebay.co.uk/sch/robustparts/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=22.89000000000019&_udhi=22.94000000000019&_sop=2&_ipg=200
2X FORD TRANSIT MK6 MK7 FRONT WIND RAIN SMOKE DEFLECTORS L SHAPE (2000-2013),22.89,363116808564,49 sold,Robust Car Parts,FRONT WIND RAIN SMOKE DEFLECTORS L SHAPE,"WIND RAIN SMOKE DEFLECTORS L SHAPE, LEFT, FRONT, RIGHT, L Shape",N/A,https://www.ebay.co.uk/sch/robustparts/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=22.89000000000019&_udhi=22.94000000000019&_sop=2&_ipg=200
RENAULT TRAFIC VAUXHALL VIVARO 2.0 CDTI INTERCOOLER TURBO HOSE PIPE 4421903,23.25,362946559891,34 sold,Robust Car Parts,144607933R; 8200526443,"4421903, 1655600Q0D",N/A,https://www.ebay.co.uk/sch/robustparts/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=23.240000000000194&_udhi=23.290000000000195&_sop=2&_ipg=200
CITROEN C3 C4 C5 DISPATCH XSARA INJECTOR SEAL KIT (2002-ONWARDS) 1.6 HDi,22.99,363264080543,4 sold,Robust Car Parts,"1366613, 3M5Q 9F593 KIT","3M5Q-9K022-DC, 3M5Q-9R524-AA, 9646510980, 0249C2, 1233685, 1235994, 1254375, 198185, 198299, 1982A0, 1233683, 1254376, 1314368, 1366613, 1432205",N/A,https://www.ebay.co.uk/sch/robustparts/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=22.94000000000019&_udhi=22.99000000000019&_sop=2&_ipg=200
WIND RAIN SUN SMOKE GUARD DEFLECTORS 2 PCS FOR FORD TOURNEO COURIER (2014-ON),22.99,363183648343,4 sold,Robust Car Parts,Wind Rain Sun,"Smoke Deflectors, Rain Deflectors, Window Shield, Wind Deflectors, Sun Visor, Ford, Tourneo Courier",N/A,https://www.ebay.co.uk/sch/robustparts/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=22.94000000000019&_udhi=22.99000000000019&_sop=2&_ipg=200
INJECTOR SEAL KIT CITROEN BERLINGO C3 C4 C5 DISPATCH XSARA 1.6 HDI 2002-ONWARDS,22.99,362973049115,11 sold,Robust Car Parts,"1366613, 3M5Q 9F593 KIT","3M5Q-9K022-DC, 3M5Q-9R524-AA, 9646510980, 0249C2, 1233685, 1235994, 1254375, 198185, 198299, 1982A0, 1233683, 1254376, 1314368, 1366613, 1432205",N/A,https://www.ebay.co.uk/sch/robustparts/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=22.94000000000019&_udhi=22.99000000000019&_sop=2&_ipg=200
FORD TRANSIT COURIER REAR LIGHT LAMP LENS LEFT HAND SIDE LH 2014 ON 2069626,24.50,363211881416,2 sold,Robust Car Parts,"2069626 , ET7613405AF","ET7613405AF, ET76-13405-AF, 1841017, 1833661, 1918778, 1944521, 2069626",N/A,https://www.ebay.co.uk/sch/robustparts/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=24.49000000000021&_udhi=24.540000000000212&_sop=2&_ipg=200
