Item Title,Item Price,Item ID,Number Sold,Brand,Manufacturer Part Number,Reference OE/OEM Number,MPN,Reference
Medium Black Rubber U Channel Edging Trim Seal 10mm x 3mm fits 0.5mm - 2mm,3.09,232940849348,102 sold,X8R,X8R0126,N/A,N/A,https://www.ebay.co.uk/sch/x8rltd/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=3.04&_udhi=3.09&_sop=2&_ipg=200
Large Black Metal Car Rubber Edging Trim Seal Soft 11mm - 16mm fits 1mm - 4 mm,3.49,232182788628,702 sold,X8R,X8R103,N/A,N/A,https://www.ebay.co.uk/sch/x8rltd/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=3.4399999999999986&_udhi=3.4899999999999984&_sop=2&_ipg=200
Mercedes OM642 Intake Inlet Manifold Swirl Flap Repair Runner Connecting Rod Set,84.99,323846163075,117 sold,X8R,X8R0175,N/A,N/A,https://www.ebay.co.uk/sch/x8rltd/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=84.93999999999731&_udhi=84.98999999999731&_sop=2&_ipg=200
For BMW E46 M3 E39 M5 Oval Rear View Mirror Auto Dimming Replacement Glass Cell,"1,109.99",231882061237,378 sold,X8R,X8R0073,N/A,N/A,https://www.ebay.co.uk/sch/x8rltd/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=1109.9399999995385&_udhi=1109.9899999995384&_sop=2&_ipg=200
For BMW E46 M3 E39 M5 Oval Rear View Mirror Auto Dimming Replacement Glass Cell,"1,109.99",231882061237,378 sold,X8R,X8R0073,N/A,N/A,https://www.ebay.co.uk/sch/x8rltd/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=1109.9899999995384&_udhi=1110.0399999995384&_sop=2&_ipg=200
For BMW Cast Iron Exhaust Manifold E46 E39 E60 E61 E38 E65 E83 E53 3 5 7 X3 X5,"1,069.99",222347849751,"1,160 sold",X8R,"11627788422, 11622248166","Manifold, Original",11622248166,https://www.ebay.co.uk/sch/x8rltd/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=1069.9399999995749&_udhi=1069.9899999995748&_sop=2&_ipg=200
For BMW Cast Iron Exhaust Manifold E46 E39 E60 E61 E38 E65 E83 E53 3 5 7 X3 X5,"1,069.99",222347849751,"1,160 sold",X8R,"11627788422, 11622248166","Manifold, Original",11622248166,https://www.ebay.co.uk/sch/x8rltd/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=1069.9899999995748&_udhi=1070.0399999995748&_sop=2&_ipg=200
Windscreen Wiper Motor Linkage  Rod Arms for Nissan Qashqai J10 JJ10 2007-2015,"1,031.36",222816730450,806 sold,X8R,X8R0138,N/A,N/A,https://www.ebay.co.uk/sch/x8rltd/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=1031.33999999961&_udhi=1031.38999999961&_sop=2&_ipg=200
For Mercedes Comand Controller Rotary Switch Button Scroll Knob Shaft Repair Kit,"1,019.99",232471354963,299 sold,X8R,X8R0130,N/A,N/A,https://www.ebay.co.uk/sch/x8rltd/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=1019.9399999996202&_udhi=1019.9899999996202&_sop=2&_ipg=200
For Mercedes Comand Controller Rotary Switch Button Scroll Knob Shaft Repair Kit,"1,019.99",232471354963,299 sold,X8R,X8R0130,N/A,N/A,https://www.ebay.co.uk/sch/x8rltd/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=1019.9899999996202&_udhi=1020.0399999996201&_sop=2&_ipg=200
Small Black Rubber U Channel Edging Edge Trim Seal 0.5mm 1mm 2mm Protection,"1,003.09",232223786419,"1,444 sold",X8R,X8R0106,N/A,N/A,https://www.ebay.co.uk/sch/x8rltd/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=1003.0399999996356&_udhi=1003.0899999996356&_sop=2&_ipg=200
Small Black Rubber U Channel Edging Edge Trim Seal 0.5mm 1mm 2mm Protection,"1,003.09",232223786419,"1,444 sold",X8R,X8R0106,N/A,N/A,https://www.ebay.co.uk/sch/x8rltd/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=1003.0899999996356&_udhi=1003.1399999996355&_sop=2&_ipg=200
Small Black Rubber U Channel Edging Trim Seal Square Protect Protection Bumper,"1,003.35",322408445895,593 sold,X8R,X8R0108,N/A,N/A,https://www.ebay.co.uk/sch/x8rltd/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=1003.3399999996353&_udhi=1003.3899999996353&_sop=2&_ipg=200
Small Car Black Rubber U Edge Channel Edging Protect Trim Seal Fits 1mm 2mm,"1,002.99",222616197102,62 sold,X8R,X8R0125,N/A,N/A,https://www.ebay.co.uk/sch/x8rltd/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=1002.9899999996356&_udhi=1003.0399999996356&_sop=2&_ipg=200
Small Car Black Rubber U Edge Channel Edging Protect Trim Seal Fits 1mm 2mm,"1,002.99",222616197102,62 sold,X8R,X8R0125,N/A,N/A,https://www.ebay.co.uk/sch/x8rltd/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=1002.9399999996357&_udhi=1002.9899999996356&_sop=2&_ipg=200
DSG Mechatronic Gear Box Accumulator Repair Kit VW AUDI SKODA VAG Leak Cracked,284.99,223941979790,11 sold,X8R,X8R0187,N/A,N/A,https://www.ebay.co.uk/sch/x8rltd/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=284.9400000000305&_udhi=284.99000000003053&_sop=2&_ipg=200
DSG Mechatronic Gear Box Accumulator Repair Kit VW AUDI SKODA VAG Leak Cracked,284.99,223941979790,11 sold,X8R,X8R0187,N/A,N/A,https://www.ebay.co.uk/sch/x8rltd/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=284.99000000003053&_udhi=285.04000000003055&_sop=2&_ipg=200
DSG Mechatronic Unit Gear Box Accumulator Fix Kit Repair VW AUDI SKODA VAG Leak,264.99,233521361813,19 sold,X8R,X8R0186,N/A,N/A,https://www.ebay.co.uk/sch/x8rltd/m.html?_nkw=&_armrs=1&_ipg=&_from=&_udlo=264.990000000026&_udhi=265.040000000026&_sop=2&_ipg=200
