Item Title,Item Price,Item ID,Number Sold,Brand,Manufacturer Part Number,Reference OE/OEM Number,MPN,Reference
Solenoid For Club Car 12V Volt Gas Golf Cart 1984- DS Precedent brand new,8.93,333875830807,N/A,maXpeedingrods,RD45ZX,"1013609, Solenoid, For Club Car 12V, for 12 V Club Car DS / Precedent Gas 1984-Up Golf Cart",N/A,https://www.ebay.co.uk/sch/autofansclub/m.html?_nkw&_armrs=1&_ipg&_from&_clu=2&_fcid=3&_localstpos&_stpos&gbr=1&_udlo=8.950000000000006&_udhi=9.000000000000007&_sop=2&_ipg=200
Aftermarket Air Filter + Cleaner Cover Fit for Briggs & Stratton 595660 799579,8.59,333893586880,N/A,maXpeedingrods,YNLGSP,"590581,595660,799579, Air filter cover and air filter replaces, Aftermarket Air Cleaner Cover Air Filter, black,yellow, for Briggs & Stratton, Lawn Mower, Gas, Air Cleaner Cover, for Briggs&Stratton",N/A,https://www.ebay.co.uk/sch/autofansclub/m.html?_nkw&_armrs=1&_ipg&_from&_clu=2&_fcid=3&_localstpos&_stpos&gbr=1&_udlo=8.600000000000001&_udhi=8.650000000000002&_sop=2&_ipg=200
⭐⭐⭐⭐⭐ Solenoid for 12 V Club Car DS / Precedent Gas 1984-Up Golf Cart 1013609,9.11,333784139046,2 sold,maXpeedingrods,X3SUPE,"1013609, Solenoid, For Club Car 12V, for 12 V Club Car DS / Precedent Gas 1984-Up Golf Cart",N/A,https://www.ebay.co.uk/sch/autofansclub/m.html?_nkw&_armrs=1&_ipg&_from&_clu=2&_fcid=3&_localstpos&_stpos&gbr=1&_udlo=9.15000000000001&_udhi=9.20000000000001&_sop=2&_ipg=200
12V Loud Air Horn for Car Boat Van Truck 7 Sounds PA System Mic 110db,35.68,333897836737,N/A,Maxpeedingrods,37B8QW,N/A,N/A,https://www.ebay.co.uk/sch/autofansclub/m.html?_nkw&_armrs=1&_ipg&_from&_clu=2&_fcid=3&_localstpos&_stpos&gbr=1&_udlo=35.850000000000115&_udhi=35.90000000000011&_sop=2&_ipg=200
Window Wiper Motor Front & Linkage fit Vauxhall Corsa MK III 2006-2014 13182342,39.02,333879094700,N/A,maXpeedingrods,XDSZ1Y,"13432686 , 13432685 , 487720160 , 13182340, 13372899 , 367546129 , 13182342 , 1270814, For Vauxhall for Opel Corsa Mk3 / D 2006 - On, For Vauxhall for Opel Corsa Mk4 / E 2014 - On, For Vauxhall for Opel Combo Mk3 (2011-2017) Box/Estate, For Vauxhall for Opel Corsavan Mk3 / Mk4 2006 - On, RONT WIPER MOTOR + LINKAGE ASSEMBLY",N/A,https://www.ebay.co.uk/sch/autofansclub/m.html?_nkw&_armrs=1&_ipg&_from&_clu=2&_fcid=3&_localstpos&_stpos&gbr=1&_udlo=39.199999999999925&_udhi=39.24999999999992&_sop=2&_ipg=200
Set of 4 Ignition Coil Pack Fit Audi A4 A5 R8 & VW Golf GTI 2.0T FSI 07K905715D,39.06,333878445189,N/A,maXpeedingrods,Q9UE0Y,"06D905115 , 06D 905 115 , 06D-905-115, 06E905115 , 06E 905 115 , 06E-905-115, 06D905115A , 06D 905 115 A , 06D-905-115-A, 06D905115C , 06D 905 115 C , 06D-905-115-C, 06E905115C , 06E 905 115 C , 06E-905-115-C, 06D905115D , 06D 905 115 D , 06D-905-115-D, 06E905115D , 06E 905 115 D , 06E-905-115-D, 06E905115E , 06E 905 115 E , 06E-905-115-E, 06E905115F , 06E 905 115 F , 06E-905-115-F, 06D905115F , 06D 905 115 F , 06D-905-115-F, 06D905115G , 06D 905 115 G , 06D-905-115-G, 06H905115 , 06H905115A , 06H905115B, 07K905715 , 07K905715D , 07K905715F, 95860210200 , 958 602 102 00 , 958-602-102-00, Ignition Coil Pack Packs  Spark Plug Plugs, Ignition Coil Replacement,spark,Igntion Coil Pack/Rail, Lead Petrol Pencil Block,ZüNDSPULE, for AUDI A3 A4 A5 A6 Q5 TT, for SEAT ALTEA ALTEA XL EXEO LEON TOLEDO III, for SKODA OCTAVIA, for VW EOS GOLF V Variant GOLF VI NEW BEETLE PASSAT, for VW SCIROCCO TIGUAN, Ignition System, Ignition Coil",N/A,https://www.ebay.co.uk/sch/autofansclub/m.html?_nkw&_armrs=1&_ipg&_from&_clu=2&_fcid=3&_localstpos&_stpos&gbr=1&_udlo=39.199999999999925&_udhi=39.24999999999992&_sop=2&_ipg=200
Blow Off Valve SSQV For Subaru WRX & 04-2018 STI 2.0 2.5L + Adapter 02-2007 BOV,39.21,333893598211,N/A,maxpeedingrods,WDS7ZK,"for Subaru Impreza WRX 2002 2003 2004 2005 2006 2007, SSQV Blow Off Valve Kit, for Subaru Impreza, for Subaru Impreza WRX 2002 - 2007, for Subaru Impreza WRX STI 2004 - 2018",GRVW1D,https://www.ebay.co.uk/sch/autofansclub/m.html?_nkw&_armrs=1&_ipg&_from&_clu=2&_fcid=3&_localstpos&_stpos&gbr=1&_udlo=39.349999999999916&_udhi=39.39999999999991&_sop=2&_ipg=200
Carburetor Fuel Filterfit Honda GX620 Gx610 Mower Water Pump Engine,39.18,333893569226,N/A,maXpeedingrods,N/A,N/A,SO6CJB,https://www.ebay.co.uk/sch/autofansclub/m.html?_nkw&_armrs=1&_ipg&_from&_clu=2&_fcid=3&_localstpos&_stpos&gbr=1&_udlo=39.349999999999916&_udhi=39.39999999999991&_sop=2&_ipg=200
Heater Blower Resistor for Mercedes-Benz CLK A208 1998-2002 Convertible 200,37.77,333839893456,N/A,maXpeedingrods,4PRBOF,"2108206210, A2028207310, A 2108206210, 2028207310, 2108206210, 202 8207310, heater blower motor resistor, 9140010343 5HL351321011, 5096842AA, 5096900AA, 50 969 00AA, 50 968 42AA, 5HL 351 321-011, 5HL351321-011",N/A,https://www.ebay.co.uk/sch/autofansclub/m.html?_nkw&_armrs=1&_ipg&_from&_clu=2&_fcid=3&_localstpos&_stpos&gbr=1&_udlo=37.9&_udhi=37.949999999999996&_sop=2&_ipg=200
Upper and Lower Rear Tubular Control Arms w/ Hardware For Ford Mustang 1979-2004,40.89,333900980919,N/A,unbranded,3V5HGT,For 1979-2004 98 99 Control Arms,N/A,https://www.ebay.co.uk/sch/autofansclub/m.html?_nkw&_armrs=1&_ipg&_from&_clu=2&_fcid=3&_localstpos&_stpos&gbr=1&_udlo=41.04999999999982&_udhi=41.09999999999982&_sop=2&_ipg=200
